Year_id,Year,City
0,1900,Paris
1,1920,Antwerpen
2,1948,London
3,1952,Helsinki
4,2008,Beijing
5,1988,Seoul
6,1996,Atlanta
7,1912,Stockholm
8,1956,Melbourne
9,2016,Rio de Janeiro
10,2012,London
11,2000,Sydney
12,2004,Athina
13,1980,Moskva
14,1984,Los Angeles
15,1992,Barcelona
16,1936,Berlin
17,1906,Athina
18,1960,Roma
19,1964,Tokyo
20,1972,Munich
21,1924,Paris
22,1904,St. Louis
23,1932,Los Angeles
24,1976,Montreal
25,1908,London
26,1928,Amsterdam
27,1968,Mexico City
28,1896,Athina
29,1956,Stockholm
30,2020,Tokyo
31,2024,Paris
